âba	abe
runka sønnøp	male sennep i morter
ryggj	ryg
rykkjatâl	periodevis
ryseli	gyselig, skrækkeligt
ryselier	gyselig, skrækkeligt
ræjasmål	rigsmål
ræjtit	rigtig
rælij	grim, hæslig
rælijer	grim, hæslig
rælius	det samme som en styjgjert
rænjesjida	diarré, tynd mave
rævka	skroget. af et dyr eller menneske
ræwben	ribben
rødda	rede, fuglerede
røddinj	rådden
røja	ryge
rølajd	rødlig
rølajder	rødlig
rønsa	rense
røssen	rosin
røstu	rusten
røstuer	rusten
røtta	rotte
røzla	ødsler
rågabogne	fugleskræmsel
rågafnat	skvoflåt
råganat	nat, mørk nat
råz	række, geled
rallika	skældsord
raspa	fræk, uanstændig kvinde
raunnaâs	skældsord
rausa	rive sammen (f.eks græs)
ravina	nar, fjante
rawknækkjelse	at lide ondt
redaja	husholderske
resla	betale enhver sit
rivejæl	ustyrlig unge
rivetinja	rivetand
rizatass	reseda (blomst)
rogg	storm med regn/sne
ræggj	snestorm
ræsta	have gæld
røppene	periode
rågabone	fugleskræmsel
råga-massa-dâ	24. februar
sagla	savle
saj	sig
saja	sige
sajla	sejle
san	sådan
sannsâger	eventyr, fortællinger
sava	sove
seddan	sådan
serla	risle
seva	sæbe
sijl	sild
sjârta	skjorte
sjavs	en person, der pjatter og snakker overfladisk
sjavs	vrøvl
sje	ske
sje	ske, finde sted
sjefta	skifte
sjemodi	sørgmodig, trist
sjev	skib
sjida	pyt
sjikka	sende
sjinjara	sommerfugl
sjyda	skyde
sjyl	skjul
sjæggj	skæg
sjænna	sløv
sjæra	skære
sjæska	slæbende skridt
sjæva	lille stykke af en grannål
sjævla	plyndre, ødelægge
sjødda	bestille noget, lave noget
sjøga	sygdom
sjøkar	sømand
sjørt	skørt
skâ	skade, komme til skade
skadda	skade
skakhâzer	stikpille, spydigheder
skâl	skældsord om dyr eller mennesker
skâla	skræl
skâla	at skule
skallra	rasle med noget
skalra	sladrekælling
skâr	skær
skarnajtu	upålidelig
skarnajtuer	upålidelig
skobba	skubbe
skobbatrâu	drønnert
skoffla å	luske af
skorred	skåret
skorrinj mâd	smørrebrød
skravekâge	efternøler
skrè	tynd skive brød
skree	lille stykke
skringka	spænde ben
skryna	trærod
skryna	hoved (overført betydning)
skryna	skældsord om gammel kælling
skræja	skrige
skygga	skygge
skåjla	skolde
slabba	spilde
slabbedøgg	hagesmæk
slaggu	slap
slaw	slags
slet	glat, jævn
slikku	slikken
slikkuer	slikken
slykkja	slukke
slænt	glide, faldt omkuld
slæføre	snevejr  (slæde føre)
sløggefânt	grovæder
smâl	smal
smida	kaste, smide
smolla	brødsmule
smorr	smør
snajl	snegl
snarka	snorke
snâua	snue
snerta	ung slank pige
snikkara	snedker
sniva	sove
snæwl	snøvl
snøja	liste rundt og snuse
snør	snot
snørdalk	snotklat
snørsnud	snothvapl
snørsnudad	snottet
soggen	sogn
sokerklæw (et)	tvebak
sokkerlâde	chokolade
spâ	spade
spajl	spejl
spiddehozza	strikkestrømpe
spiflâua	spyflue
spinjara	edderkop
spo  (saj)	skynd (sig)
spolagjâre	stakit
spolalågga	stakitlåge
sporr	spurv
sprikka	sprække
språgmanja	sprogmænd
språgskott	sprogbevaring
spæja sijl	spegesild
spåga	splint
staggra	vakle, gå usikkert
staja	stige
stark	stærk
stâua	stue
stijannes	stigende
stjærna	stjerne
stjærnor	stjerner
stobbivad	kortsynet
stoppesera	slå til, række (om penge)
storajtu	storagtig
storajtuer	storagtig
storia	historie
strâger	rank, ret
strânad	strandned
striva	strube, luftrør
strækkja	strække
styggjer	styg, hæslig
stygjert	grim person, både legemligt og åndeligt
stæjla	stille, sætte
stævla	støvle
stæw	støv
stølpa	stolpe
stømmoer	stedmor
stårta	falde
svalp	skvat
svalpa	plaske
svâra	svare
svinka	kort eller hurtig tur
svælja	svulme op
svårt	sort
svårtepølsa	blodpølse
syrk	delvis kælenavn til lille dreng
syzlakonna	snurretop
sælla	sælge
sænj	seng
særissa	fårekylling
sætta	man sætter i jorden på bornholm. man lægger ikke
sæwn	søvn
sø	suppe
sødd	sut
søja	søge
søkkel	cykel
sølkje	silke
søll	sølv
sølla	seler
sømpel	dårlig, ringe
sønnøp	sennep
søvvemâd	skemad
sålæns	således
sångluer	svimmel
sånglu	svimmel
sjita hâusa	dårlig hukommelse
sjovli pyz	en underlig person
sajtlawinj	sagtmodig
sevesant  (er)	pålidelig
sjemodi	modfalden
sjemodier	modfalden
sjidfarru	urenlig person
sjidfarruer	urenlig person
sjiwsasjaws	sludder og vrøvl
sjua	flytte sig
sjænd	spoleret
sjæwblâdada	ranunkel
skâra omm	skifte sind
skarnajtu	uartig
skarnajtuer	uartig
skaventryna	hus ved rø plantage
skraduren	sygelig, skrantende
skringelhâzad	skævbenet
skringelhâzader	skævbenet
skræjelas	sidste høstlæs fra marken
skrønturinj	skulker
skt. mikkels sogn	rutsker
sluna	hænge med hovedet
slunku  (er)	doven, efterladen
slæwsa	kvinde med slæbende gang
sløggefânt	forslugen person
smæjlfajla	skældende kvindfolk
snakka râ	tale rigtigt
snærpelitut	i små kår (mangel, savn)
spekkelerd	snu
spekkelerder	snu
spilla daldos	leve over evne
stâsjunkera	nasturtier (blomst)
sters	køkken
stivvel	kirketårn
stommene	utiltalende mandsperson
stoppesera	klare sig
storivad	forbavset
storivader	forbavset
strânløj	engelskgræs
stæl	areal uden bygninger
stænje	ladeloft
svajl	fugtigt sted på marken
svâledrikka	tyndt, dårlig øl
sylkjentoppa	konavn
sæwlilja	gul eller blå iris
tâ	tag  (tage noget)
tâ klauninj	hænge sig
taddra	sludre
tâg	tag
tagla	gnave, bide
taja	tie
tanj	tand
tanjvark	tandpine
te res	parat
tebâge	tilbage
tefres	tilfreds
temâd	dessert
tetâbælli	plejern
tijle	loft
tjâul	kjole
tjiv	tyv
tjivanåkkel	tyveknægt
tjæra	tjære
tjærka	kirke
tjæta	hunkat med killinger
tjøkk  (er)	tyk
tobbakk	tobak
toffla	tøffel
togga	tygge
toppa	rykke i håret
torra	tørre
tort	tørt
tost	tørst
toza	tosse
trâ	trådt
trattara	tragt
trâua	true
tresk	kvik, ferm, dygtig
trijla	trille
trøbbel	problem
tunghørse	tunghør
tvestarta	ørentvist
tvilna	hælde på - tylle i sig
tyggja	tigge
tæppa	lukke, lukke til
tølla	tåle
tømma	tommelfinger
tøst	tyst, tavs, stille
tåta	tude i horn
tjiva	høtyv
tjivamyrn	moser ved helligdommen
tokkaløs  (er)	ude af sig selv
tormånad	marts måned
torru	tørv
trâ	en trådt sti
trækkjes å	blive fotograferet
tutafait	i en ruf
tisbid	kl. 10 mad
ufajnju  (er)	uhåndterlig
ufnatteli	umådelig
ulada	slemt
uliedier	ulidlig, ækel
ulokka	ulykke
unøtta	vranten
urtakåst	blomsterbuket
ustogga	ustadig
ulabbelit	hæsligt
unbobba	risengrynskage
unjarna	de underste
unnjantag	aftægt
unøtta	sur og tvær
va sâbrikan	hvad pokker
vagga	vugge
vâginj	vågen
vajlabøtta	baglæns kolbøtte
vajta	vinke
vâna	vana
varkan	hverken
varpa	kaste
varpa	smide
varra	være
vâun	vogn
vâuna	vågne
vâuna	vække
vâusa	vokse
vâuta	vogte
vavs	sludder
vâza	vase
veddan	hvordan
ver	ved
vidda	vide
videfrøst	rimfrost
vijla	dygtig
vijlabræ	afveje
vikken	hvilken
viljate	dygtig til
villu	villig
villuer	villig
viner	nar
vinju	vindu
vispa	hveps
visser	kvik, rask
vrântas	mislykkes
vrifitter	klejner
vræla	græde
vyst	lille hund
vystinj	hunden
vyzla	fløjte
værkjikka	vindstød
værkli	virkelig
værsjid	fjært, prut
våraløs	uforsigtig
våraløz	skødeløs
vrångstrivanj	den gale hals
vaita	vinke
vammelmawad  (er)	lidende af kvamle
vannpræstinj	grotte i almindingen
varpa	væveredskab
vaws	vås, vrøvl
vidda hut	opføre sig ordentligt
vijl	særdeles duelig
vijler	særdeles duelig
vijlabræ	udskejelser
vinkeltitta	skeløjet person
viss  (er)	hurtig
vojlløvse	løbsk (hest)
vrângelhorn	krakilsk menneske
vrønna	vrinske (hest)
værkna	fremstille tøj
værsjidaurt	rosen-geranium
vårspring	en slags udslæt
vronginj	fuld
vronginj	beruset
vronginj	forvirret
ynjstinj	yngste
ynka	enkelt
ynra	yngre
æggj	æg
æggla	kværulere
æjle	eller
æjluabid	formiddagsmad
æjnkja	enke
ældra	ældre
ænjastjærna	forglemmigej
ænna	bagdel
ær	ar
ærne	ærinde
ætte	efter
ævarst	øverst
ævent	lige for nyligt
ævent	netop
ænnekehoud	kværulant
ættelækj	sidste del af brændevinsbrænding
øgga	uge
ønte	ikke
øra	øre
ørada	ørred
å	og
åbârad	afslidt
åfø	efterkommere
åjler	alder
ålatælla	åleruse
ålång	aflang
ångest	angst
årsdâlamøj	skvalderkål
åska	aske
åtâinj	fotograferet
åu	også
åviza	avis
åreklæpp	beskyttende beslag på åre
âgerbinnja	snerle
âgerbinnja	vejbinder
âgerkål	agerkål
âgerkål	agersennep
âgerlogg	ager-gåseurt
âgerlogg	agermunk
âgerlogg	kamille
âgermunka	blåhat
âgermunka	skabiose
âger-pænjsurt	pengeurt
âgersølkje	kokkeurt
âgersølkje	kornrose
âgersølkje	valmue
agorka	agurk
agrimonika	agermåne
âhorn	ahorn
alm	elmetræ
alm	skovelm
âluna	alungarve
arter	ærter
asp	bævreasp
aspâsia	asparges
âusel i vång	kodriver
âuselbæratræ	bornholmsk røn
âuselbæratræ	selje-røn
autanstjærna	aftenstjerne
avenbøj	avnbøg
âvijl	æbletræ
bakkamunka	blåmunke
balsompil	balsampil
barkenaroa	gulerod, vild
benedikturt	engnellikerod
benvedje	benved
bittersøda	natskygge
bittersøda	bittersød
bjynk	bynke
bjøgg	byg
blobøj	blodbøg
blomstersæw	iris
blorod	tormentil
blæreklæwer	jordbær-kløver
blåbær	korbær
blåklæwer	anemone
blåklæwer	blåkløver
blåbønna	cikorie
bojseknapp	kornokseøje
bokkablâ	bukkeblad
bokkatorn	bukketorn
bolmaurt	bulmeurt
bonarosa	stokrose
bonarøssen	rønnebær
bonatoza	stokrose
borkj	birk
borra	burre, alle
borrerod	burresnerre
bovedde	boghvede
bozbom	buxbom
brajna	bregne
brânsurt	gøgeurt
brommelbær	brombær
brualyz	brudelys
brøstkjørrild	brystkørvel
brøstkjørrild	sødskærm
brøzzelika	basilikum
brøzzelika	bryselike
byjlenbær	blåbær
bækkja-statât	vandmynte
bæwerasp	bævreasp
bæwergræz	hjertegræs
bødkarasæw	iris
bøj	avnbøg
bøj	bøg
bøllenbær	blåbær
bånpil	båndpil
dâlabær	brombær
dâuestol	kornblomst
dâueurt	dueurt
dâueurt	gederams
dâuevâun	venusvogn
dijl	dild
dikkagræz	vejbred, lancetblad.
draphawra	draphavre
dæwra	dodder
dønæjlla	tvetand
dønæjlla	døvnælde
døsvâmp	giftig svamp
dårtelilja	dorthealilje
eddernæjla	brændenælde
efoi	vedben
enetappa	enebuske
faninjs åbidd	djævelsbid
fâulanæbb	fladbælg, små
fâulanæbb	kællingetand
fâularompa	aks-ærenpris
fâularompa	vejbred, glat
fâulavikka	musevikke
feberklæwer	bukkeblad
fingerborr	blåklokke
fingerborr	digitalis
fingerborr	nælde-klokke
fiol	viol
fiol-matriâla	aftenstjerne
firablâ-ettbær	firblad
fiskanæbb	tigerlilje
floilsgræz	fløjlsgræs
flojlskablomma	fløjlsblomst
flojlstop	dunhammer
flouehaura	flyvehavre
forglimmiej	forglemmigej
førr	fyr
gâdeblomma	gåseurt
gâdeblomma	okseøje
galinjabær	fruebær
gallra	hamp
galnabær	natskygge
galtaspragla	mjødurt
galtaspragla	stenbræk
garsa	rug-hejre
gjeddaløj	skovløg
gjeddarams	ramsløg
gjeddarams	skovløg
gjylenlakka	gyldenlak
gjøjamâd	skovsyre
gjøjnamâd	gøgemad
gjøjnamâd	surkløver
glimmiej	forglemmigej
grânepæra	grankogle
grânesjæwer	grannåle
grizagræz	hjertegræs
græzgarsa	hejre
græzløj	purløg
græznelka	nellike
græzrod	kvikgræs
gråbone	bynke
gråbønna	knopurt
grånakka	knopurt
gråpil	hvidpil
gråtijstel	ager-tidsel
gråtijstel	pigget tidsel
gula-sæw	iris, gul
guleroa, vijl	gulerod, vild
gulklæwer	gul kløver
gulklæwer	humle-sneglebælg
gåzagræz	gåsepotentil
hânapungatræ	benved
hânekomm	kodriver,storblomst.
hâraklæwer	harekløver
harrens hænner	gøgeurt, plettet
hattbær	bakke-jordbær
hattbær	jordbær, vilde
hawentorn	hvidtjørn
hâzzel	hassel
hik	hæg
hinjbæratorn	hindbær
hiventorn	hyben
hiventorn	klipperose
hojensint	hyacint
hojensurt, vijl	scilla
homla	humle
horsatijstel	horse-tidsel
hunjakjajs	kørvel, vild
hunjakjajs	skærmplanter, flere
hunjaløj	vild-løg
hunjatunga	havepest
huzløj	husløg
hyjl	hyld
hæggj	hæg
hæstaklæwer	rødkløver
hæzel i vång	kodriver
hønnusurt	honningurt
hønsagræz	vejpileurt
hønsanæjlla	nælde, liden
hårdenbom	kornel, rød
islandsk the	timian, smalbladet
jacobslilja	lilje, hvid
jarnæg	steneg
jartansfryd	hjertensfryd
jomfru m`s sænjahalm	timian, smalbladet
jomfru m's sænjahalm	snerre, gul
jomfrusarkj	snerle
jorvijntergrønt	singrøn, liden
jyjlkål	skvalderkål
kabbelaja	eng kabbeleje
kaggoræwl	vej-pileurt
kala, vijl	ingefær, dansk
kallarompa	reseda (farve)
kallgårahawra	fuglegræs
kallgårahawra	hønsegræs
kallkræwl	fuglegræs
kalmes, kalmesrod	kalmus
kantofla	kartoffel
karinnetorn	fjeld-ribs
kattafod	fladbælg, gul
kattafod	rundbælg
kattaiven	forglemmigej, små
kattaiven	ærenpris, tveskægget
kattaost	katost
kattapis	scilla
kattarompa, blå	slangehoved
kattatarm	potentil, krybende
kattatarma	fredløs, pengebladet
kjælinjatanj	fladbælg
kjælinjatanj	kodriver, hulkravet
kjælinjatanj	rundbælg
kjælinjatanj, rø	kodriver, melet
kjærnillika	trævlekrone
kjørrije, spansk	kørvel, spansk
kjørrijl	kørvel, have
kjøssebæratræ	kirsebærtræ
klammeri	snerre, gul
klanner	koriander
klitta	klinte
klokka	eng-nellikerod
klokka	klokkeblomst
klokkeblomst	eng-nellikerod
klokkeløng	klokkelyng
klæwer	kløver
kløppeløj	sankt hansurt
klåkotta	hanekro, alle
knoppâgerkål	kiddike
kommian	kommen
kommiansblomma	kamille, vellugtende
kommiansblomma	kamille, ægte
kommianslogg	kamille, vellugtende
kongalyz	kongelys, alle
kongapænn	kongepen
kongsolidarod	læge-kulsukker
kooja	okseøje, hvid
kopatta	eng-nellikerod
kopattarânkla,-ryzma	kaprifolium
kopattarøzmer	gedeblad
kopattarøzmer	kaprifolium
korropil	båndpil
korsbrigna	ørnebregne
krestannatræ	hestekastanie
kruzbær	tyttebær
kruzemyjnt	ager-mynte
krægentræ	kræge
krågetorn	mark-krageklo
kwalkenbær	kvalkved
kwalkentorn	kvalkved
kåjlaurt	hundeviol
lakoja	levkøj
lammaørn	kongelys, alle
lark	lærk
larkelin	spergel
lausurt	gul okseøje
leddagræz	padderokke
leddamunk	ager padderokke
leddasæw	dynd padderokke
lin	hør
linnj	lind, storbladet
lungeblâ	hestehov, filtet
lungeblâ	hestehov, hvid
lyngbær	krækling
lyngbær	revling
lømmika	ærenpris, tykbladet
løng	hedeløng
løngbær	rævling-bær
løngbæraløng	rævling
lønn	ahorn
løvemunj	ager-løvemund
løvemunj	torskemund
madamboner (kartofl)	magnum bonum
mairan	merian
mâlurt	malurt
mâlurt, vijl	bynke, grå
mârhalm	hjelme
mariblomma	bellis
mariblomma	tusindfryd
marsfiol	martsviol
matriâla	aftenstjerne
mattan	matrem
middurt	mjødurt
mijla	strand-mælde
milkafæjlla	høst-borst
milkatijstel	ager-skørtidsel
milkatijstel	ager-svinemælk
milkatijstel	løvetand
milkatijstel	svinetidsel
milkaurt	gaffel-vortemælk
moerurt	kransburre
moerurt	krusemynte
mozzapil	øret pil
mozzapyza	dunhammer
mozzaujl	kæruld
mozzika	skovmærke
munka	brunelle-aks
munka	lancet-vejbred
munkagræz	vejbred, lancetblad.
muzarompa	musehale
mysika	skovmærke
mæsterrod	mesterrod
møllenbær	melbær
møllenbæratræ	axelbær-røn
måzika	bukar
najenhora	nøgen jomfru
najenhora	sommer-hvidblomme
nattskadda	fuglemælk
nålaurt	dueurt, alle
odedâter (kartofler)	up to date
olsurt	brunrod, knoldet
palm	seljepil
palmepil	seljepil
perkom, prikkuer	perikon, prikbladet
perrsla	persille
pil	sølvpoppel
pilsurt	pileurt, bleg
pinjeslilja	pinselilje
pion	pæon
plommetræ	blommetræ
poppelpil	pyramidepoppel
poppelpil	sølvpoppel
postelinsurt	porcelænsblomst
postinokka	pastinak
pottmælka	hyacint
præstakrawa	matrem
præstakrawa	pinselilje
præstaluz	agermåne
præstaluz	burresnerre
puggemâd	andemad
pyretrom	matrem
pænjsurt	pengeurt
pænjsurt	skjaller
pærsla	persille
pærsla, vijl	hundepersille
pøvverrod	peberrod
påskalijla	påskelilje
ramsakål	skovløg
ramsløj	skovløg
râu	rug
riddarasporra	klokkehyacint
riddarasporra	korn-ridderspore
rinjormaurt	vortemælk
risetas, resetas	reseda
rodagræz	kvikgræs
rompehawra	havre
ræwaløng	rævling
ræwarompa	ulvefod
røklæwer	rødkløver
røpil	pil
røpstorn	ribsbusk
sallvaia	eng-salvie
saweknopp	rosengalle
segoria	cikorie
serinatræ	syren
sisarkj	ager-snerle
sjæra	engskær
sjæregræz	hjelme
sjøførr	bjergfyr
skâuâvijl	skovæbletræ
skâujorbær	skovjordbær
skâuskrabba	skovæble
skawgræz	skavgræs
skawtahavra	havre, ikke tærsket
skorrbinja	burresnerre
skorrbinja	hør-silke
skorrbinjer	ager-ranunkel
skræppa	burre, alle
skræppa	skræppe, bredbladet
slånatorn	slåen
smorrblomst	eng-kabbeleje
smorrblomst	ranunkler, alle
smorrurt	ranunkel, langbladet
smorrurt	vorterod
smæjllekotta	blæresmelde
snågabrajna	ørnebregne
snågaurt	konval, stor
soldâtaraknappa	okseøje, gul
solvenn	morgenfrue
solvenn	solsikke
spanskløj	ramsløg
sparrisa	asparges
spærris	asparges
spøl	tagrør
staggerløj	sandløg
staggerurt	feber-nellikerod
stâsjunkara	nasturtier
stâsmoskat	pelargonie, engelsk
statât	mynte, grøn
stavrløj	ramsløg
stavrløj	sandløg
stenbrigna	engelsød
stikkelsbæratorn	stikkelsbær
stikketijstel	tidsel, lav
stolt henrik	brandbæger
stor-vie	gråpil
strânløj	engelskgræs
strântistel	strand-mandstro
stømmoer, vijl	ager-stedmoder
stångrosa	stokrose
svinabostagræz	katteskæg
svinatistel	svinemælk
svårtebær	rævling-bær
svårthâuda	lancet vejbred
svårtvedje	tørstetræ
swânikaguleroer	skvalderkål
swinamijla	gåsefod, hvidmelet
swinamijla	svine-mælde
swinatijstel	ager-skørtidsel
swinatijstel	ager-svinemælk
sylkjeurt	valmue
syra	skræppe, kruset
sæ	sæd, korn
sæksinia	snerre, gul
sæw	knop-siv
sæwævja	bændeltang
søldanna,søldannarod	svaleurt
sølkjegræz	mose bunke
sølkjesarkj	snerle
sølkjeurt	trævlekrone
søvverinstræ	syren
tappsjæra	reseda (farve)
tijstel	tidsel, alle
tjæraurt	tjærenellike
toppsjæra	kongelys, alle
træâgerkål	kiddike
trækorn	kiddike
tulipân, vijl	tulipan, vild
tæpprawa	gulerod, vild
tæpprawa	røllike
tøttebær	tyttebær
urtakåst	blomsterbuket
vajbrødblâ	vejbred, glat
valriâna	læge-baldrian
vannanemon	vandranunkel
vannpil	skørpil
vannpostinakka	mærke, bredbladet
vannpøvver	ranunkel, nedbøjet
vedde	hvede
vidbøj	avnbøg
vidklæwer	hvidkløver
vidløj	ramsløg
vie	pil, krybende
viggasæw	lyse-siv
vijntergrønt	vedben
vijntergrønt	vintergrønt
vijnternarr	gækurt
vijnternarr	vintergæk
vijnternarr	vintergæk
vijnternarr	vårgæk
vinervâun	venusvogn
vinngræz	vindaks
værsjidaurt	storkenæb, stinkende
vårtemilk	gaffel-vortemælk
vårtorn	korsved
vårtorn	vrietorn
æj	eg
æjnjalogg	okseøje, hvid
æl	rødel
ælletræ	rødel
ællekrak	ellekrat
ælnerod	læge-alant
ængeltorn	æblerose
ænjaklokka	klokkeblomst
ænjasjæra	skjaller, stor
ænjastjærna	engstjerne
ænjastjærna	forglemmigej
ænjasølkje	trævlekrone
ænjklokka	eng-nellikerod
ænjpænj	skjaller
ænjsjær	engskær
ænjzamunka	djævelsbid
ævja, ædja	tang (opdrevet)
øzelvång	kodriver, hulkravet
åjlenbøj	bøg
årsdâlamøj	skvalderkål
agerhønna	vagtelkonge
âgerhønna	engsnarre
agerpyta	vagtel
agerriksa	vagtelkonge
ân	and
bakkasvâla	digesvale
blânke-kniv	hvinand
blânkenkniv	tejst
blå råg	sortkrage
blånæbba	bjergand
bofinka	bogfinke
bogfinkahøj	spurvehøg
boskahøj	tornskade, rødrygget
boskajælpa	bynkefugl
brokkfâul	brokfugl
brunnakka	brunnakke
brunnakka	pibeand
brunskalla	munk
bruus-kop	hvinand
bækkjastar	solsort
dâua	due
dâuehøj	duehøg
dâuehøj	hvepsevåge
dokkert	dykand
dolken	strandhjejle
donpap	dompap
drâfâul	trækfugl
drapgåz	knortegås
drivfâul	storspove
fâula	dykænder, fællesnavn
fiskasnærlinj	snærling
fittsmula	præstekrave, stor
fjællstaun	nattergal
fjærapist	præstekrave
fjærapist	ryle
floifâul	trækfugl
floita	vadefugle, små
flojtatuta	hjejle
flæskatjiv	musvit
gaddiz	havlit
gjârekonge	gærdesmutte
gjøj	gøg
glint	glente
gompafâul	halemejse
grawgåz	gravand
græzân	ænder,(ruger i græs)
gråben	høg
gråben	stormmåge
gråerska,-irska	tornirisk
grånakka	stormmåge
gråsporr	gråspurv
gråvælminj	bomlærke
gråvælminj	kornværling
gul skra	skallesluger, stor
gulskrækkja	skallesluger, stor
gulvælminj	gulspurv
gåza	gase
hâbak	høg
hakkespæt	flagspætte, stor
hâpax	tornskade, stor
haurafâul	vipstjert
hawaærska, -erska	havesanger
hawfâul	dykænder, alle slags
hawrapinkes	vipstjert, gul, hvid
horsagjøj	bekkasin
hvi(d)sia	hvinand
hvi(d)sia	skallesluger, toppet
hætting-tærna	dougalls terne
høj	høg
kaja	allike
kakatrost	sangdrossel
kattøgla	natugle
kivio	kjove
kjirra	fjordterne
kjirra	hætteterne*
kjærra	fjordterne
kjærra	sorthætte*
kjøssebærafâul	havesanger
klaeshahn	havlit
klaeshahn	hvinand
kniva	hvinand
kongefâul	fuglekonge
kovverân	taffeland
krakkøgla	natugle
krek(kruk)-kop	taffeland
kråga	krage
larka	lærke
lâsagjæss	gæs m. løse fjer
lijla måga	dværgmåge
lijla sølvet	måge, tretået
lijla sølvet	ride
lynglarka	toplarka
lyngpivara	hjejle
lyngvrinskinj	horsegøg
långviva	brokfugl
mula	alk
mula	lomvie, langnæbbet
muzavitta	musvit
nattbagg	natravn
oert	krikand
perleân	spidsand
perlemåga	sølvmåge
pivara	regnspova
pomeransfâul	pomeransfugl
pærka	and
rajnfâul	mursvale
rajnsvâla	mursejler
rawn	ravn
ringeldâua	ringdue, stor blågrå
ringvia	lomvie, langnæbbet
rytara	præstekrave, stor
rytara	ride
rytarinj	ryle, sortgrå
røjælpa	irisk
røkjinka	rødhals
røkjælk	rødhals
røkroes	rødhals
røtterinj	måge, tretået
røtterinj	ride
råg	kornkrage, blå
råg	råge
sânrujla	præstekrave, stor
sânrujla	ryle
sân-vrifter	præstekrave, stor
savfilarinj	musvit
savnæbba	skallesluger
savnæbba	skeand
sijlaperris	tejst
simmerinj	sjagger
sitronfâul	pomeransfugl
sjitafâul	silkehale
sjitarinj	silkehale
sjitsnappara	kjove
sjødâua	tejst
sjøhâna	lom, 3 arter
sjøhønna	lappedykker, toppet
sjølarka	snespurv
sjøpoppelgoja	alk
skadda	skade
skræjkkja	skallesluger, toppet
skræjkkj-ân	skallesluger, toppet
skuda	skovdue
snefâul	snespurv
snæra	misteldrossel
sporr	spurv
sporrahøj	spurvehøg
sporrahøj	tårnfalk
starr	stær
stenjælpa	digesmutte
stenjælpa	stenpikker
stenjælpa	vipstjert
stenpikkara	vipstjert
stenpinkes	vipstjert, hvid
stokkân	sædgås
strânbækkasin	tinksmed
strân-høj	kjove, lille
strânpivara	sandløber
strânrujla	præstekrave, stor
strøm-ân	gråand
strøm-ân	stokand
stråfâul	vipstjert, gul
svân	svane
svensk bogfinka	kvækerfinke
svenska	grønirisk
svenskinj	lom, rødstrubet
svårthætta	fjordterne
svårthætta	hætteterne*
svårtkjirra	sortterne
søllskrækkje	skallesluger
tolk	rødben
trâna	trane
trappgåz	knortegås
træpikkara	flagspætte
tællepikkara	musvit
tømmalidinj	fuglekonge
vajdetitta	stenvender
viindrossla	sangdrossel
vijlân	gråand
vijntermåga	tretået måge
virla	mudderklire
viva	vibe
ænjasnarra	engsnarre
ænjasnarra	vagtelkonge
ærinjsfâul	vagtel
åbo	edderfugl
ålakråga	skarv
ångelmuz	angelmus
hunj	hund
vyjst	hund, lille
kjætta	hunkat
kjæjln	killing
âgerstaggra	markmus
muz (flertal møss)	mus
jyjlkat	pindsvin
røtta	rotte
ångelmuz	spidsmus
ansiosa	ansjos
ædjapytta	blåmusling
brillinj	brisling
gjædda	gedde
hunjfisk	hundestejle
pinjstagg	hundestejle
slætta	ising
kroppa	karudse
lajs	laks
svelling	laks, ung, lille
mossla	musling
botta	pighvar
sijl	sild
skrobba	skrubbe
sânrujltes	smørbutting
sânrujltes	sortkutting
sudara	suder
sjælhunj	sælhund
âdak	sælhund
næbgjædda	tangsnarre
tobbis	tobis
storje	tobis
fisk	torsk
sijlakâga	vandmand
vannsvavel	vandmand
ørada	ørred
sigge	ørred, lille
minka	ålekvabbe
særissa	ager-fårekylling
visa	bidronning
brøms	bremse
bænkjaskrobba	bænkebider
spinnjara	edderkop
flâua	flue
sirissa	fårekylling
sirris	fårekylling
tossebid	gordius(latin,slægt)
græzhoppara	græshoppe
firavinjara	guldsmed
gjæstaboddsbeara	guldøje
hunjaraja	havloppe
horsasnorra	hestebremse
horsaflâua	hestebremse
vispa	hveps
skâlmadk	insekt m. hård skal
kålsjinjara	kålsommerfugl
loppa	loppe
grånakka	lus
gråbena	lus
luz	lus
ængra	maddike (i kød)
marripyjta	mariehøne
lokka	mejer
vandlokka	mejer
sjinjara	møl, flyvende
sjinjara	natsværmer
nattbuggara	natsværmere, store
madk	orm, larve
grajnja orm	sankthansorm
torrbag	skarnbasse
rågafnat	skovflåt
snågaspott	skumcikade som puppe
elefânt	snudebille
sjinjara	sommerfugl
frajara	spindelvæv
spiflâua	spyflue
væggjasijl	sølvkræ
hunjaraja	tangloppe
mørl, mærl	tangloppe
torrbag	torbist
vårtebidara	vortebider
tvestarta	ørentvist
eil	igle
ajla	igle
hunjøla	firben
jordrøm, -drøn	klokkefrø
kongesalamander	salamander, stor
læwskræj	løvfrø
løngtobbis	firben
orm	slange (alle slags)
ormslåer	hugorm
ormslåer	stålorm
pugga	frø
rørdrom	klokkefrø
snajl	snegl
snåga	snog
stenjælpa	snog
tinjstâvisper	haletudser
vannøla	salamander
Âlinga	Allinge
Ârnâga	Arnager
Hâzle	Hasle
Helipær	Helligpeder
Klæmsker	Klemensker
Najsø	Neksø
Najsø	Nexø
Pærsker	Pedersker
Rø	Rø
Rønna	Rønne
Svânikka	Svaneke
Tajlkås	Teglkås
Tajn	Tejn
Tâuta	Tofte
Ypnastâ	Ypnasted
dâuaodda	dueodde
lista	listed
nykjærke	nyker
mulaby	muleby
svårthatt	sorthat
